date,state,district,pincode,demo_age_5_17,demo_age_17_,total_population,youth_ratio,pop_change,shock_score,ml_flag,ml_score,severity,reason,confidence,is_severe,persistence,impact_score,recommended_action,state_avg_youth_ratio,peer_deviation,early_warning,data_trust_score
2025-01-04,Uttar Pradesh,Aligarh,202001,977,9397,10374,0.09417775207248892,0.0,0.06147628960840723,-1,-0.010585327500798658,SEVERE,Ageing population,-0.03,True,0.5,2.037,Immediate audit & field verification,0.1148424654950211,-0.021,False,0.25
2025-01-07,Uttar Pradesh,Firozabad,283203,1336,13408,14744,0.09061313076505698,0.0,0.06147628960840723,-1,-0.012796197547592758,SEVERE,Ageing population,-0.036,True,0.32558139534883723,2.036,Immediate audit & field verification,0.1148424654950211,-0.024,False,0.34
2025-01-03,Uttar Pradesh,Moradabad,244001,1034,10410,11444,0.09035302341838518,0.0,0.06147628960840723,-1,-0.012796197547592758,SEVERE,Ageing population,-0.036,True,0.375,2.005,Immediate audit & field verification,0.1148424654950211,-0.024,False,0.31
2025-01-06,Uttar Pradesh,Moradabad,244001,888,10497,11385,0.07799736495388669,0.0,0.06147628960840723,-1,-0.013176515539653377,SEVERE,Ageing population,-0.037,True,0.375,2.003,Immediate audit & field verification,0.1148424654950211,-0.037,False,0.31
2025-01-03,Uttar Pradesh,Aligarh,202001,676,7812,8488,0.07964184731385486,0.0,0.06147628960840723,-1,-0.012951253410866781,SEVERE,Ageing population,-0.036,True,0.5,1.995,Immediate audit & field verification,0.1148424654950211,-0.035,False,0.25
2025-01-04,Delhi,West Delhi,110059,1780,14314,16094,0.11060022368584566,0.0,0.06147628960840723,-1,-0.01237645017172706,SEVERE,Multi-factor deviation,-0.035,True,0.16,1.987,Immediate audit & field verification,0.10480626661134639,0.006,False,0.42
2025-01-03,Delhi,West Delhi,110059,1241,14147,15388,0.08064725760332726,0.0,0.06147628960840723,-1,-0.012951253410866781,SEVERE,Ageing population,-0.036,True,0.16,1.978,Immediate audit & field verification,0.10480626661134639,-0.024,False,0.42
2025-01-03,Delhi,West Delhi,110059,1241,14147,15388,0.08064725760332726,0.0,0.06147628960840723,-1,-0.012951253410866781,SEVERE,Ageing population,-0.036,True,0.16,1.978,Immediate audit & field verification,0.10480626661134639,-0.024,False,0.42
2025-01-07,Uttar Pradesh,Moradabad,244001,1398,14732,16130,0.08667079975201487,4745.0,33.97126750844279,-1,-0.11733142978235933,SEVERE,Ageing population; Sudden demographic shock; Large population swing,-0.328,True,0.375,1.956,Immediate audit & field verification,0.1148424654950211,-0.028,False,0.31
2025-01-03,Uttar Pradesh,Firozabad,283203,630,9269,9899,0.06364279220123245,0.0,0.06147628960840723,-1,-0.013324730532191853,SEVERE,Ageing population,-0.037,True,0.32558139534883723,1.955,Immediate audit & field verification,0.1148424654950211,-0.051,False,0.34
